ID;Address;Longitude;Latitude;Point;State;Source_date;Color
PA_0001;4 Ter Pass. de la Main d'Or, 75001 Paris;2.3779945176641344;48.85177713280888;10;Détruit !;septembre 2018 (spott);black
PA_0006;40 rue de Seine;2.336769;48.855063;10;Très dégradé;juillet 2022;red
PA_0009;2 bis Pass. Saint-Antoine, 75011 Paris;2.3763826709366387;48.85321957517339;10;Détruit !;avril 2015 (spott);black
PA_0011;24 Rue Keller, 75011 Paris;2.3757898019571058;48.85498748719733;10;Détruit !;juillet 2015 (spott);black
PA_0012;24 Rue Keller, 75011 Paris;2.3758327506338603;48.854936315804586;10;Détruit !;juillet 2015 (spott);black
PA_0017;face à  la rue Voltaire;2.361939;48.815751;10;Dégradé;février 2021 (report);orange
PA_0018;16 rue Saint-Vincent;2.341277;48.888538;10;OK;décembre 2018 (spott);blue
PA_0019;pont piéton de la Grange aux Belles;2.364043;48.873203;10;Détruit !;octobre 2022;black
PA_0020;20 rue Saint-Fiacre;2.345908;48.870718;10;Détruit !;août 2018 (report);black
PA_0026;101, 75001 Paris;2.346433680118661;48.86130190236651;10;Détruit !;septembre 2022;black
PA_0027;fontaine des Haudriettes;2.357949;48.861207;10;Détruit !;avril 2019 (report);black
PA_0033;46 Rue des Francs Bourgeois, 75004 Paris;2.358804638966889;48.85878018904838;10;Détruit !;juillet 2015 (spott);black
PA_0036;face au 7 boulevard Vincent Auriol;2.373305;48.837191;10;Un peu dégradé;septembre 2017 (report);green
PA_0038;1 passage Thérié;2.374937;48.853203;10;Détruit !;septembre 2022;black
PA_0039;2 rue d'Écosse;2.346597;48.848325;10;Détruit !;mai 2020;black
PA_0045;1 Rue Saint-Sulpice, 75006 Paris;2.338021109176428;48.85152096964395;10;Détruit !;juillet 2022;black
PA_0049;117 rue Oberkampf;2.378379;48.865957;10;Dégradé;mai 2019 (report);orange
PA_0052;16 Rue du Perche, 75003 Paris;2.3607664697473147;48.86114945615114;50;Détruit !;avril 2015 (spott);black
PA_0053;face au 16 boulevard Vincent Auriol;2.372367;48.836908;10;Dégradé;décembre 2020 (report);orange
PA_0054;Espl. Léo Hamon;2.3515616799049086;48.83678076224968;10;Détruit !;avril 2015 (spott);black
PA_0056;10 rue Simonet;2.351604;48.828724;10;OK;juin 2022 (report);blue
PA_0057;34 rue Louise Weiss;2.369748;48.834487;10;Détruit !;septembre 2022;black
PA_0058;14 rue Louise Weiss;2.370642;48.833443;10;OK;septembre 2022;blue
PA_0060;église Saint-Eustache;2.344486;48.86361;10;Détruit !;février 2022;black
PA_0069;40 rue du Banquier;2.354171;48.834656;10;Un peu dégradé;septembre 2022;green
PA_0075;sur le piédestal du lion;2.332466;48.834295;10;Détruit !;septembre 2022;black
PA_0076;statue de Jeanne au secours d'Arc;2.357013;48.83833;10;OK;février 2019 (report);blue
PA_0078;21 passage du Moulin des Prés;2.352885;48.828953;10;Dégradé;juin 2017 (flash);orange
PA_0084;15 rue du Pas de la Mule;2.366677;48.856007;10;Détruit !;octobre 2020 (report);black
PA_0086;pont de Sully;2.360204;48.850563;10;Détruit !;août 2022;black
PA_0088;sortie nord du Carrousel;2.335168;48.862666;30;Détruit !;juillet 2022;black
PA_0089;1 rue Baltard;2.346483;48.862751;10;Très dégradé;novembre 2022;red
PA_0090;métro Etienne Marcel;2.34899;48.86372;10;Détruit !;juillet 2022;black
PA_0093;pont du Carroussel;2.333481;48.859832;10;Détruit !;septembre 2022;black
PA_0094;porte Fleurus du jardin du Luxembourg;2.33263;48.84704;10;Détruit !;mai 2020 (report);black
PA_0096;69 Rue de Richelieu, 75002 Paris;2.3377511749265296;48.8675701822122;10;Détruit !;avril 2015 (spott);black
PA_0101;18 Rue de l'Orillon, 75020 Paris;2.378425477443735;48.8718499298461;10;Détruit !;avril 2015 (spott);black
PA_0102;42 boulevard de l'Hôpital;2.361975;48.839907;30;OK;novembre 2021 (Instagram);blue
PA_0104;sud de la place de la Porte de Montreuil;2.414337;48.853403;30;OK;septembre 2019 (report);blue
PA_0107;pont d'Iéna, rive gauche nord;2.292935;48.859382;20;Détruit !;juillet 2020 (report);black
PA_0111;20 rue Hermel;2.344664;48.891598;10;OK;septembre 2021 (report);blue
PA_0112;19 rue Gassendi;2.326943;48.835;10;OK;juin 2019 (report);blue
PA_0115;impasse des Arbalétriers;2.359639;48.858572;30;OK;juillet 2018 (report);blue
PA_0118;1 rue Raymond Ayron;2.375347;48.835576;10;Détruit !;mars 2021 (report);black
PA_0125;sud de la Fontaine aux Lions;2.39581;48.83954;20;Détruit !;octobre 2020 (report);black
PA_0129;Sur la pile du viaduc;2.3824066;48.8236456;10;OK;février 2020 (report);blue
PA_0130;Sur la pile du viaduc;2.3807648;48.8226732;10;OK;février 2020 (report);blue
PA_0134;Ecole du Louvre, Porte Jaujard, Pl. du Carrousel, 75001 Paris;2.3397377898291407;48.86035934052872;10;Détruit !;mars 2018 (report);black
PA_0136;93 Rue de Rivoli, 75001 Paris;2.336547578615725;48.862049661054;30;Détruit !;septembre 2021 (report);black
PA_0137;93 Rue de Rivoli, 75001 Paris;2.336709605382161;48.86205965416872;30;Détruit !;septembre 2021 (report);black
PA_0138;93 Rue de Rivoli, 75001 Paris;2.3369830255505226;48.861889770946966;30;Détruit !;septembre 2021 (report);black
PA_0139;93 Rue de Rivoli, 75001 Paris;2.3370640389337405;48.86175652880092;30;Détruit !;septembre 2021 (report);black
PA_0140;93 Rue de Rivoli, 75001 Paris;2.336441248550252;48.86184313623621;30;Détruit !;septembre 2021 (report);black
PA_0141;93 Rue de Rivoli, 75001 Paris;2.3364665652325067;48.86161329309829;30;Détruit !;septembre 2021 (report);black
PA_0142;93 Rue de Rivoli, 75001 Paris;2.336851378802793;48.86158331348075;30;Détruit !;septembre 2021 (report);black
PA_0146;2 rue Véronèse;2.355438;48.834234;30;OK;août 2018 (report);blue
PA_0147;gare d'Austerlitz;2.365852;48.842848;10;Détruit !;octobre 2022;black
PA_0152;place de la Concorde;2.323337;48.86619;10;Détruit !;septembre 2022;black
PA_0153;9 Rue du Temple, 75004 Paris;2.3529038996629725;48.85795438577728;10;Détruit !;avril 2015 (spott);black
PA_0154;métro de Bel-Air;2.400953;48.841734;50;Détruit !;septembre 2019 (report);black
PA_0161;17 rue Yvonne Le Tac;2.339665;48.884163;20;OK;juillet 2018 (report);blue
PA_0163;133 rue Saint-Jacques;2.34355;48.84691;20;Détruit !;août 2022;black
PA_0164;26 Av. Jean Aicard, 75011 Paris;2.3806137147122186;48.86633496736229;30;Détruit !;avril 2015 (spott);black
PA_0168;37 rue Richelieu;2.33668;48.865523;20;Détruit !;septembre 2022 (report);black
PA_0173;Sur le trottoir, devant le passage piéton;2.37591;48.85034;10;Très dégradé;décembre 2021 (report);red
PA_0179;entrée du tunnel de Champigny;2.50721;48.82725;10;Détruit !;avril 2021 (report);black
PA_0191;21 chemin du Parc de Charonne;2.402905;48.86068;10;Très dégradé;juillet 2022;red
PA_0195;avenue de la porte Clignancourt;2.344819;48.900821;20;OK;août 2021 (report);blue
PA_0199;214 Rue Saint-Maur, 75010 Paris;2.370661562446182;48.87341996498565;10;Détruit !;juin 2018 (spott);black
PA_0200;face au 194 rue de Bercy;2.37238;48.844506;10;Très dégradé;août 2020;red
PA_0201;19 rue Georges Lardennois;2.37682;48.87801;30;Détruit !;août 2022 (report);black
PA_0203;4 Pass. Stinville, 75012 Paris;2.3887289109794545;48.84407155031785;50;Détruit !;octobre 2022;black
PA_0204;place de la porte de Pantin;2.395975;48.889956;10;Détruit !;août 2021 (Instagram);black
PA_0205;parvis de Saint-Vincent-de-Paul;2.35168;48.878073;20;Détruit !;décembre 2020 (report);black
PA_0208;métro Raspail;2.331491;48.837428;10;Détruit !;août 2022;black
PA_0213;84 rue Mouffetard;2.349683;48.842099;50;Détruit !;août 2022;black
PA_0214;9 Av. de la Prte des Lilas, 75019 Paris;2.4088290793936644;48.878077812415;10;Détruit !;avril 2015 (spott);black
PA_0215;0 rue Montgallet;2.386157;48.842592;10;Détruit !;octobre 2019 (report);black
PA_0216;67 rue de l'Amiral Mouchez;2.342467;48.821572;30;OK;avril 2015 (spott);blue
PA_0219;face au 8 rue André Voguet;2.37367;48.81957;10;Détruit !;mai 2020;black
PA_0224;sur les panneaux d'information du périph';2.373607;48.819874;10;Détruit !;mai 2020;black
PA_0225;sur le pont du periph' porte d'Ivry;2.373015;48.819453;10;Dégradé;mai 2020;orange
PA_0234;Champ de Mars, 5 Av. Anatole France, 75007 Paris;2.294756660991674;48.85769984157637;10;Détruit !;septembre 2022;black
PA_0237;156 avenue des Champs Élysées;2.297074;48.873433;20;Détruit !;mars 2021 (report);black
PA_0239;11 Rue Ramey, 75018 Paris;2.347210248996665;48.887478126551;10;Détruit !;juillet 2015 (spott);black
PA_0242;94-100 avenue Saint-Mandé;2.406932;48.844487;20;Détruit !;novembre 2022 (report);black
PA_0244;12M Pl. Léon Blum, 75011 Paris;2.3798276363628816;48.85825609083264;20;Détruit !;juillet 2015 (spott);black
PA_0246;10f Pl. de la République, 75011 Paris;2.364516122153576;48.867228421502446;10;Détruit !;juillet 2022;black
PA_0247;1 rue Firmin Gillot;2.289533;48.833349;20;OK;mars 2017 (spott);blue
PA_0251;à  l'ouest de la fontaine des Innocents;2.348006;48.860668;10;Détruit !;septembre 2022;black
PA_0254;101 avenue des Champs-Élysées;2.300541;48.871809;20;Très dégradé;septembre 2021 (report);red
PA_0256;place de Varsovie;2.291805;48.860866;10;Détruit !;octobre 2022;black
PA_0257;métro Passy;2.285713;48.857696;10;Détruit !;juin 2022;black
PA_0262;place de la Nation (côté avenue du Trône);2.397285;48.848006;10;Détruit !;juillet 2019 (spott);black
PA_0263;sur les marches du métro Victor Hugo;2.285663;48.86995;10;Détruit !;mai 2021 (report);black
PA_0264;115 rue de la Tour;2.275514;48.862998;10;OK;avril 2019 (report);blue
PA_0265;face au 27 boulevard Jules Sandeau;2.272269;48.862923;10;Détruit !;octobre 2022;black
PA_0266;11 rue de la Manutention;2.29564;48.864649;10;Détruit !;juin 2022;black
PA_0267;10 rue de Magdebourg;2.290235;48.864144;10;Détruit !;octobre 2022;black
PA_0269;sur le Chasseur à  pied de la Redoute de Gravelle;2.45549;48.818166;30;OK;juillet 2015 (spott);blue
PA_0272;96 rue de Tolbiac;2.364164;48.8268;20;OK;septembre 2018 (spott);blue
PA_0274;Dans le tunnel du métro ligne 1, tronçon Bastille - Saint Paul;2.368856907332963;48.851918876643;20;OK;juillet 2022 (Instagram);blue
PA_0276;Rue de Lyon, 75012 Paris;2.3738223163257266;48.84476193089512;30;Détruit !;;black
PA_0279;116 rue du Faubourg du Temple;2.37615;48.87163;10;Détruit !;janvier 2022 (report);black
PA_0281;61 Rue de la Verrerie, 75004 Paris;2.352759261146996;48.85800430440576;10;Détruit !;avril 2015 (spott);black
PA_0284;15 Rue Neuve Popincourt, 75011 Paris;2.374725870725403;48.86382512840347;20;Non visible;;grey
PA_0287;Unknown;2.3569;48.85667;10;Détruit !;juillet 2022;black
PA_0289;Rue des Goncourt, 75010 Paris;2.3710509041443;48.86997338701893;10;Détruit !;;black
PA_0290;113 rue Oberkampf;2.37815;48.865889;10;Détruit !;juillet 2021 (report);black
PA_0296;Sur le trottoir, derrière le passage piéton;2.34488;48.86492;10;Très dégradé;juillet 2022;red
PA_0298;Dans le coin des rues, sur le trottoir, juste à côté du mur de la boucherie;2.33638;48.86798;10;Détruit !;novembre 2022 (report);black
PA_0300;56 avenue des Gobelins, devant la brasserie le Naja, sur le sol à côté d'un arbre;2.3537469123101737;48.83372411517118;10;Très dégradé;octobre 2022 (report);red
PA_0303;24 passage Boiton;2.35075;48.82682;10;OK;juin 2018 (spott);blue
PA_0304;75 Av. des Gobelins, 75013 Paris;2.3544589373577782;48.833300634425306;20;Détruit !;septembre 2022;black
PA_0306;11-9 Rue des Iris, 94240 L'Haÿ-les-Roses;2.346406627977844;48.77549200731991;50;Détruit !;janvier 2021 (report);black
PA_0309;1 boulevard de l'Amiral Bruix;2.282737;48.876904;20;OK;décembre 2018 (report);blue
PA_0310;passerelle de la Porte de Saint-Cloud;2.255328;48.83748;20;OK;avril 2019 (report);blue
PA_0311;face au 5 rue Bréa;2.330293;48.843579;20;Détruit !;décembre 2018 (report);black
PA_0312;parvis de Saint-Pierre de Montrouge;2.327061;48.828366;10;OK;mai 2022 (report);blue
PA_0313;Au sol, dans le passage piéton à travers la rue des Prouvaires;2.34403;48.86122;10;Très dégradé;août 2022;red
PA_0314;2 Pl. Pinel, 75013 Paris;2.3618088405590765;48.83315442946874;10;Détruit !;mars 2015 (spott);black
PA_0315;face au 32 boulevard Auguste Blanqui;2.351154;48.830074;10;OK;juin 2022 (report);blue
PA_0316;rue des Artistes;2.334741;48.827372;10;OK;octobre 2019 (report);blue
PA_0317;devant la Fondation Cartier;2.33168;48.83667;20;Détruit !;août 2022;black
PA_0320;34 rue du Faubourg Saint-Jacques;2.338129;48.836622;50;OK;octobre 2018 (spott);blue
PA_0324;Au sol juste devant le trottoir;2.33083;48.86541;10;Très dégradé;juillet 2021 (report);red
PA_0336;centre d'Hygiène Sociale;2.353239;48.890439;10;OK;juillet 2018 (report);blue
PA_0337;A l'entrée de l'A3, au niveau du sol;2.41271;48.86449;20;Détruit !;avril 2021 (report);black
PA_0338;Pl. du Maréchal Juin, 75017 Paris;2.296905926234022;48.88518215716169;10;Détruit !;août 2022;black
PA_0350;école primaire de l'avenue d'Ivry;2.365082;48.822933;10;Dégradé;septembre 2017 (report);orange
PA_0352;21 rue d'Alsace;2.358214;48.877675;10;Détruit !;septembre 2022;black
PA_0357;21 boulevard Lefebvre;2.290355;48.832037;10;Dégradé;juillet 2022;orange
PA_0358;14 rue de Savies;2.391285;48.871463;10;Détruit !;janvier 2021 (report);black
PA_0361;Unknown;2.3527353;48.8308994;20;OK;septembre 2020;blue
PA_0366;127 rue Castagnary;2.30356;48.8299;10;OK;septembre 2016 (spott);blue
PA_0367;108 rue Brancion;2.3017;48.82981;20;Détruit !;août 2022;black
PA_0368;80 Ave Parmentier, 75011 Paris;2.3753470098370344;48.86438422092486;10;Détruit !;avril 2015 (spott);black
PA_0371;Ouest de la fontaine de Montreuil;2.38316;48.85037;10;Détruit !;juillet 2022;black
PA_0383;54 Bd du Temple, 75011 Paris;2.364744910753229;48.8665419419933;20;Détruit !;avril 2015 (spott);black
PA_0385;41 rue Dunois;2.36856;48.83149;10;OK;octobre 2018 (spott);blue
PA_0393;85 Quai d'Austerlitz, 75013 Paris;2.3663336147007543;48.842872775150205;30;Détruit !;octobre 2022;black
PA_0396;49 rue de Beaubourg;2.35441;48.862668;20;Détruit !;mars 2019 (report);black
PA_0397;A gauche de la route, derrière les plantes. Difficilement accessible à pied.;2.41412;48.86685;30;OK;janvier 2020 (spott);blue
PA_0403;porte N-E du parc George Brassens;2.30289;48.83208;10;Dégradé;juillet 2022;orange
PA_0405;face au 110 rue Castagnary;2.305931;48.830168;50;Un peu dégradé;septembre 2022;green
PA_0407;93 rue Vieille du Temple;2.360883;48.860102;30;Détruit !;septembre 2017 (report);black
PA_0408;Av. de la Chapelle, 75020 Paris;2.391192301860704;48.8629891024419;10;Détruit !;juin 2019 (report);black
PA_0409;43 Av. de la République, 75011 Paris;2.375340962763976;48.86526476356448;10;Non visible;février 2019 (report);grey
PA_0410;0 rue de la Mare;2.38822;48.868393;10;Très dégradé;juillet 2022;red
PA_0412;15 rue Robineau;2.393552;48.864799;10;Détruit !;février 2020 (report);black
PA_0414;2 rue du 11 Novembre 1918;2.410014;48.891977;10;OK;juin 2019 (report);blue
PA_0418;139 avenue Michelet;2.344331;48.901461;10;OK;septembre 2021 (report);blue
PA_0419;A côté de la plaque du numéro 68;2.41514;48.85845;10;OK;octobre 2021 (report);blue
PA_0420;45 rue Anselme;2.336024;48.909131;10;OK;mai 2019 (report);blue
PA_0425;Sur le côté du pont de D6B, flashable sous le pont ferroviaire;2.41503;48.81813;50;OK;mai 2020;blue
PA_0426;face au pavillon d'Italie;2.357022;48.816064;30;Dégradé;mars 2019 (spott);orange
PA_0427;10 rue de Tolbiac;2.375363;48.829912;30;OK;juin 2021 (Instagram);blue
PA_0428;7 avenue de la Grande Armée;2.292356;48.874504;20;Détruit !;juillet 2021 (report);black
PA_0431;rond-point de la porte de Vincennes;2.414288;48.847269;10;OK;février 2021 (report);blue
PA_0434;19 rue Lamblardie;2.39799;48.840725;30;Détruit !;septembre 2020;black
PA_0440;81U Av. Pierre Mendès-France, 75013 Paris;2.367572048321965;48.8419017019716;10;Détruit !;octobre 2022;black
PA_0441;7 rue Gabriel Péri;2.356289;48.815533;50;OK;août 2022 (report);blue
PA_0457;1 Pl. de la République, 75003 Paris;2.3641169758735003;48.86736453099165;10;Détruit !;mars 2022 (report);black
PA_0459;métro Chevaleret;2.36825;48.834914;30;OK;octobre 2018 (spott);blue
PA_0460;39P rue Louise Weiss;2.369952;48.834395;10;OK;octobre 2018 (spott);blue
PA_0463;182 Rue Saint-Honoré, 75001 Paris;2.33853461207176;48.86247313387405;50;Détruit !;mars 2015 (spott);black
PA_0465;114 rue de la Roquette;2.378546;48.856977;20;OK;août 2018 (report);blue
PA_0467;parc de Belleville;2.384969;48.871567;30;Un peu dégradé;février 2021 (report);green
PA_0469;3 Pl. Saint-Germain des Prés, 75006 Paris;2.3335624486225623;48.85392912375991;20;Détruit !;mars 2015 (spott);black
PA_0473;3 rue Saint-Sulpice;2.338006;48.851471;30;OK;octobre 2022 (report);blue
PA_0477;267b rue de Paris;2.415553;48.854338;30;OK;juin 2018 (report);blue
PA_0479;2 Pl. Sainte-Opportune, 75001 Paris;2.347141857134267;48.859394858698735;10;Détruit !;septembre 2022;black
PA_0485;15 rue Paul Valérie;2.289909;48.870264;10;OK;mars 2019 (report);blue
PA_0490;10 rue du Chemin de Fer;2.391981;48.899579;50;OK;janvier 2016 (spott);blue
PA_0491;4 Rue Michel le Comte, 75003 Paris;2.356904421025277;48.86196674252736;50;Détruit !;juillet 2015 (spott);black
PA_0497;sortie routière de Roissy-Charles-de-Gaulle;2.528152;49.006762;50;OK;décembre 2020 (report);blue
PA_0500;5 R. de Turbigo, 75001 Paris;2.347744151197123;48.86356608798098;50;Détruit !;août 2022;black
PA_0508;9 rue des Prouvaires;2.344175;48.861702;10;OK;février 2019 (report);blue
PA_0509;33 Rue Berger, 75001 Paris;2.3441507238128887;48.86196016509459;30;Détruit !;septembre 2022;black
PA_0511;95 Rue de Bagnolet, 75020 Paris;2.4017749440857066;48.85882184264938;10;Détruit !;avril 2015 (spott);black
PA_0512;267 Bd de la Villette, 75010 Paris;2.368366119969888;48.88389482379749;20;Détruit !;avril 2015 (spott);black
PA_0513;160 Rue Vieille-du-Temple, 75003 Paris;2.364362694947108;48.86179873536228;10;Détruit !;avril 2015 (spott);black
PA_0518;119 Quai de Bercy, 75012 Paris;2.378639167691947;48.832878768949314;50;Détruit !;avril 2015 (spott);black
PA_0519;83 Rue Vieille-du-Temple, 75003 Paris;2.3595827640680795;48.85926738925531;10;Détruit !;novembre 2018 (report);black
PA_0520;viaduc rue Jacques Kablé;2.494696;48.835546;20;OK;juillet 2019 (spott);blue
PA_0521;cimetière de Belleville;2.399825;48.875538;20;OK;juin 2018 (spott);blue
PA_0522;Square Jules Ferry;2.369036;48.866379;10;Détruit !;août 2020 (report);black
PA_0524;244 avenue du Général de Gaulle;2.508885;48.826905;50;Un peu dégradé;mars 2021 (report);green
PA_0526;au croisement de l'A86 et de la ligne de RER E;2.487126;48.860432;30;OK;septembre 2017 (spott);blue
PA_0533;sous le périph' porte de Cligancourt;2.343811;48.900816;30;OK;mars 2019 (spott);blue
PA_0537;160 rue Oberkampf, piscine de l'Espace Form;2.38281;48.86626;20;Détruit !;septembre 2022 (report);black
PA_0538;4 Cité Véron, 75018 Paris;2.3323860473747264;48.88440933889448;20;Non visible;;grey
PA_0542;5 rue de Rambouillet;2.379208;48.843367;50;Très dégradé;avril 2022;red
PA_0546;320bis rue de Charenton;2.39717;48.831983;30;Détruit !;septembre 2018 (spott);black
PA_0551;1 avenue Ibsen;2.411501;48.865235;10;Détruit !;mai 2022;black
PA_0554;101 rue de Reuilly;2.391561;48.843257;20;Détruit !;octobre 2022;black
PA_0555;11 boulevard Beaumarchais;2.368784;48.854589;50;Détruit !;juin 2021 (report);black
PA_0557;282 rue Saint-Jacques;2.341198;48.841544;20;Très dégradé;juin 2019 (report);red
PA_0558;45 rue de la Brèche aux Loups;2.39589;48.838579;10;Très dégradé;avril 2022;red
PA_0559;1 rue Raoul;2.396419;48.83874;20;OK;décembre 2020 (report);blue
PA_0560;65 boulevard Flandrin;2.27404;48.86858;10;OK;juillet 2018 (report);blue
PA_0561;77bis Rue Marcadet, 75018 Paris;2.346839732661881;48.890297618013726;10;Détruit !;juillet 2015 (spott);black
PA_0567;117 rue Haxo;2.402223;48.876023;30;Dégradé;octobre 2019 (report);orange
PA_0569;passerelle de Charentonneau;2.442683;48.816851;20;Dégradé;septembre 2022 (report);orange
PA_0574;avenue Pierre Brossolette;2.493827;48.829989;30;OK;juillet 2019 (spott);blue
PA_0578;3 place Henri Queuille;2.311836;48.845263;20;Très dégradé;août 2022 (report);red
PA_0582;14 rue Villedo;2.3357;48.866571;20;Détruit !;août 2022;black
PA_0584;17 rue d'Amsterdam;2.326795;48.877251;20;Détruit !;février 2021;black
PA_0596;85 rue de la Croix Nivert;2.295586;48.843339;10;Très dégradé;avril 2022;red
PA_0597;métro La Motte-Picquet-Grenelle;2.297638;48.849209;10;Détruit !;août 2022;black
PA_0600;entrée du tunnel de la porte Chaumont;2.396877;48.886487;30;OK;septembre 2018 (spott);blue
PA_0601;A86 à  l'angle du stade Pierre de Coubertin;2.485377;48.859886;20;OK;décembre 2018 (spott);blue
PA_0603;19 Rue de Pontoise, 75005 Paris;2.3516145610844426;48.84927477862324;20;Non visible;mars 2022 (report);grey
PA_0607;48 rue d'Orsel;2.341899;48.883487;50;Détruit !;juillet 2022;black
PA_0608;1 avenue du Général de Gaulle;2.484218;48.820142;10;Un peu dégradé;février 2021 (report);green
PA_0611;boulevard Georges Braque;2.473746;48.961187;30;OK;juillet 2015 (spott);blue
PA_0613;derrière un poteau à  l'entrée d'un tunnel;2.361211;48.816267;20;OK;mars 2017 (spott);blue
PA_0614;bretelle de périphérique Porte Brancion;2.298492;48.826254;20;Un peu dégradé;mai 2020 (report);green
PA_0620;escalier menant vers le passage Piat;2.38677;48.87046;10;Dégradé;février 2022 (report);orange
PA_0621;porte de Pantin;2.396147;48.888993;30;OK;juillet 2019 (spott);blue
PA_0622;au pied du 18 boulevard de la Guyane;2.412255;48.835582;30;Détruit !;mai 2020 (report);black
PA_0623;porte de la Gare côté Ivry;2.385989;48.827254;20;Détruit !;janvier 2022 (report);black
PA_0625;(détruit);2.3295234;48.8528467;30;Détruit !;juillet 2021 (report);black
PA_0628;Unknown;2.3145237;48.8272687;10;OK;mai 2020;blue
PA_0640;Unknown;2.337166;48.8872532;30;OK;avril 2021 (Instagram);blue
PA_0643;21 rue des Abbesses;2.337857;48.884576;50;OK;décembre 2018 (spott);blue
PA_0645;rue Charles Monselet;2.400606;48.879724;50;OK;avril 2015 (spott);blue
PA_0646;porte de Vanves;2.304927;48.827974;30;OK;octobre 2019 (report);blue
PA_0647;66 rue Caulaincourt;2.336834;48.889471;30;Détruit !;avril 2021 (report);black
PA_0648;métro Pelleport;2.401491;48.868227;30;OK;juin 2018 (spott);blue
PA_0651;52 rue Saint-Didier;2.283506;48.867162;20;OK;juillet 2019 (spott);blue
PA_0652;25 rue des Sablons;2.282824;48.865032;30;OK;avril 2019 (report);blue
PA_0653;33 rue du Colisée;2.309827;48.871372;20;Détruit !;décembre 2019 (report);black
PA_0655;34 rue Debelleyme;2.363702;48.862195;30;Très dégradé;mai 2020 (report);red
PA_0656;112bis rue Championnet;2.3395;48.89589;30;OK;septembre 2018 (spott);blue
PA_0658;métro Saint-Fargeau;2.404115;48.871633;30;OK;mai 2019 (report);blue
PA_0665;127 rue de Lauriston;2.285567;48.86556;30;OK;janvier 2019 (spott);blue
PA_0667;64 avenue de Choisy;2.36211;48.823602;10;OK;mai 2018 (spott);blue
PA_0669;pont ferroviaire de la porte des Poissonniers;2.35365;48.898293;30;OK;décembre 2018 (spott);blue
PA_0675;1bis rue Friant;2.325317;48.827125;20;OK;juin 2016 (spott);blue
PA_0676;40 Rue Saint-André des Arts, 75006 Paris;2.341235117793609;48.85341945015799;50;Détruit !;mars 2015 (spott);black
PA_0678;6 rue de Seine;2.336413;48.857238;30;Détruit !;juillet 2022;black
PA_0684;23bis rue Poliveau;2.359213;48.840199;30;OK;août 2018 (report);blue
PA_0685;sortie 18 de l'A86;2.48817;48.85823;30;OK;septembre 2018 (spott);blue
PA_0686;1 rue Marius Delcher;2.399139;48.828627;30;Détruit !;août 2022 (report);black
PA_0687;2U Pont National, 75013 Paris;2.387309024881899;48.82797465853787;30;Détruit !;septembre 2014 (street view);black
PA_0688;33 Rue du Faubourg Saint-Antoine, 75011 Paris;2.371827148906429;48.852595968361065;10;Détruit !;;black
PA_0690;12 rue Jean-Henri Fabre;2.342903;48.901307;20;Dégradé;novembre 2020 (Live FlashInvaders);orange
PA_0704;17 rue de la Cerisaie;2.365003;48.852243;30;Détruit !;mars 2020 (report);black
PA_0705;32 rue de Patay;2.374785;48.825532;20;Un peu dégradé;février 2021 (report);green
